symbols,price,200_MA,150_MA,50_MA,200_MA_1month_ago,150_MA_1month_ago,200_MA_2month_ago,150_MA_2month_ago,52_Week_Low,52_Week_High,Rel_Strength,Above_30%_Low,Within_25%_High,RS_Rank
SPY,414.94,371.51954999999987,382.3297999999999,408.0314,357.55724999999984,367.2130666666666,,355.76199999999994,294.88,422.12,100.0,383.344,316.59000000000003,0.4205607476635514
MMM,201.86,176.80634999999984,180.98586666666657,197.02039999999997,170.35229999999981,174.07353333333322,,168.53619999999987,145.81,207.33,98.14643760279061,189.553,155.4975,0.3987538940809969
ABT,117.13,112.82650000000012,115.43666666666667,119.8776,109.38060000000013,112.7588666666667,,109.43166666666671,87.3,128.23,91.17451383670038,113.49,96.17249999999999,0.2772585669781931
ABBV,116.12,101.39205000000007,104.93246666666664,110.17000000000007,99.17610000000008,100.16546666666665,,97.78826666666667,80.49,117.21,89.77003386070966,104.637,87.9075,0.2585669781931464
ABMD,280.0,298.93949999999984,303.0983333333332,309.663,294.51064999999994,295.8845999999998,,295.2163333333332,196.32,355.13,96.70248129903405,255.216,266.34749999999997,0.38006230529595014
ACN,283.38,252.83034999999992,259.68533333333335,282.0670000000001,243.04820000000007,248.4212,,241.2698666666667,193.5,292.54,104.16004212613954,251.55,219.40500000000003,0.4953271028037383
ATVI,95.37,87.5173749999999,89.64680000000003,93.62239999999996,85.52622499999995,86.99386666666665,,84.84349999999998,69.43,103.81,92.91744001922292,90.25900000000001,77.8575,0.3052959501557632
ADBE,488.07,480.41174999999976,479.503933333333,486.49660000000017,471.9814999999996,476.8847333333329,,478.05426666666665,375.17,533.8,90.20117307251917,487.72100000000006,400.34999999999997,0.2616822429906542
AMD,77.17,84.10169999999998,84.7381,79.45300000000003,81.51482500000002,85.04226666666668,,85.43013333333336,50.1,97.25,99.59315907567942,65.13000000000001,72.9375,0.4143302180685358
AAP,194.94,165.92079999999996,169.5917333333333,192.38319999999996,157.97650000000002,160.90366666666662,,155.8910666666666,133.13,208.59,103.98453540889088,173.069,156.4425,0.48598130841121495
AES,25.36,23.083849999999988,24.75386666666666,26.876799999999985,21.35194999999999,23.118599999999994,,21.126199999999994,12.2,28.91,147.52031240992082,15.86,21.6825,0.8909657320872274
AFL,55.99,44.6301,47.18100000000002,53.18379999999999,41.905699999999996,43.786000000000016,,40.94800000000001,33.95,56.53,114.88543810854775,44.135000000000005,42.3975,0.6074766355140186
A,132.3,116.13420000000005,121.6070666666668,129.80359999999996,110.32405,115.37073333333336,,110.21079999999996,80.75,137.34,110.84780801162258,104.97500000000001,103.005,0.5607476635514018
APD,298.19,282.45655000000005,278.53093333333345,286.81819999999993,279.82765,279.5732666666667,,282.26879999999994,233.08,312.67,90.59664377406986,303.004,234.5025,0.26479750778816197
AKAM,113.53,105.92282499999997,104.43820000000004,105.84899999999995,106.23127499999998,104.56000000000003,,106.90743333333332,93.41,120.44,80.49602091997339,121.43299999999999,90.33,0.1277258566978193
ALK,68.07,52.6866,57.4478,69.10520000000004,47.9412,51.720600000000005,,45.34340000000002,31.02,73.74,156.24205741474682,40.326,55.30499999999999,0.9158878504672897
ALB,159.58,133.1721499999999,146.78660000000002,155.5377999999999,121.99434999999995,133.94039999999995,,121.87679999999996,67.97,185.25,166.8213273721439,88.361,138.9375,0.9439252336448598
ARE,174.6,167.70870000000014,168.26599999999985,172.9157999999999,166.35680000000013,165.49159999999986,,166.81733333333324,145.43,181.1,84.5746952389547,189.05900000000003,135.825,0.1806853582554517
ALXN,177.72,139.2323750000001,148.69903333333338,162.20749999999998,130.45742500000006,138.34276666666665,,128.7845333333334,100.51,178.36,124.6677881614316,130.663,133.77,0.7071651090342679
ALGN,591.75,478.73517499999963,533.2905999999992,569.7484000000003,435.3154249999999,481.622133333333,,434.33036666666635,235.96,621.76,172.86037540766935,306.74800000000005,466.32,0.9532710280373832
ALLE,137.51,113.98795000000005,118.27013333333333,131.5767999999999,109.05245000000002,111.33859999999996,,107.28666666666666,94.0,142.55,103.83712101037695,122.2,106.91250000000001,0.4797507788161994
LNT,58.11,52.79654999999999,52.66206666666668,55.172000000000004,51.9453,51.91003333333335,,52.30306666666669,46.03,58.11,89.20806580555201,59.839000000000006,43.582499999999996,0.24610591900311526
ALL,137.43,106.20144999999997,110.38546666666669,123.52800000000006,100.93485000000003,103.35586666666671,,99.37400000000004,85.82,139.26,103.19664720129855,111.56599999999999,104.445,0.470404984423676
GOOGL,2294.13,1849.578550000001,1957.219733333332,2214.3129999999996,1733.9459000000008,1802.572933333333,,1695.1012666666668,1362.54,2392.76,115.58090617303283,1771.302,1794.5700000000002,0.6199376947040498
GOOG,2345.1,1860.1925499999998,1969.864133333331,2237.2666000000004,1739.6427000000006,1810.1629999999993,,1700.5245999999995,1359.9,2429.89,118.38506065686165,1767.8700000000001,1822.4175,0.6510903426791277
MO,50.0,43.642400000000016,44.33073333333331,49.8416,42.41264999999999,42.64019999999997,,41.31506666666666,36.08,52.5,94.35549366082722,46.903999999999996,39.375,0.32710280373831774
AMZN,3203.08,3209.48675,3205.572066666671,3245.180400000001,3166.3393499999993,3177.090200000004,,3199.9926000000037,2401.1,3531.45,93.58745431521592,3121.43,2648.5874999999996,0.3146417445482866
AMCR,11.98,11.4368,11.548666666666685,11.859399999999992,11.219050000000003,11.36866666666668,,11.236400000000009,9.19,12.49,88.85248469658265,11.947,9.3675,0.2398753894080997
AEE,85.11,78.97245,78.77133333333335,82.54580000000004,77.82395,77.74179999999998,,78.18346666666667,68.81,85.89,86.79300760535561,89.453,64.4175,0.205607476635514
AAL,22.57,16.845875000000007,18.147866666666655,22.633999999999986,15.417674999999997,16.403533333333325,,14.315900000000001,9.7,25.17,165.6699788666502,12.61,18.8775,0.940809968847352
AEP,86.65,83.76627500000012,84.25570000000005,86.22129999999994,83.3131000000001,83.41560000000003,,83.36140000000002,74.85,93.59,78.31349074005178,97.30499999999999,70.1925,0.09345794392523364
AXP,156.87,122.62580000000011,129.67793333333347,148.87040000000002,114.2564000000001,120.01520000000009,,110.89020000000004,89.33,158.98,125.03354786597016,116.129,119.23499999999999,0.7165109034267912
AIG,51.31,38.85454999999995,42.09186666666662,48.062000000000026,36.23449999999998,38.153466666666624,,34.85539999999997,26.43,51.92,126.45571597610154,34.359,38.94,0.7320872274143302
AMT,249.95,235.3173999999999,231.3520666666663,241.96200000000016,236.9887,230.66226666666645,,236.46446666666665,198.66,271.29,73.40924739652365,258.258,203.46750000000003,0.06230529595015576
