,symbols,price,200_MA,150_MA,50_MA,200_MA_1month_ago,150_MA_1month_ago,200_MA_2month_ago,150_MA_2month_ago,52_Week_Low,52_Week_High,Rel_Strength,Above_30%_Low,Within_25%_High,RS_Rank,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8
16,ALB,159.58,133.1721499999999,146.78660000000005,155.5377999999999,121.99434999999997,133.94039999999995,,121.87679999999996,67.97,185.25,166.82132737214388,88.361,138.9375,0.9439252336448598,True,True,True,True,True,True,True,True
19,ALGN,591.75,478.73517499999963,533.2905999999991,569.7484000000002,435.31542499999983,481.62213333333295,,434.3303666666664,235.96,621.76,172.86037540766938,306.7480000000001,466.32,0.9532710280373832,True,True,True,True,True,True,True,True
35,AMP,254.27,198.61274999999992,212.36246666666682,244.21200000000007,183.85135,193.66100000000012,,179.25066666666672,132.12,265.65,136.67666222384372,171.75599999999997,199.2375,0.8161993769470405,True,True,True,True,True,True,True,True
49,ADM,66.98,52.65265,54.8406666666666,60.98860000000001,49.36695,51.69673333333329,,48.98939999999996,35.12,67.66,134.79423138757787,45.656000000000006,50.745,0.8068535825545171,True,True,True,True,True,True,True,True
59,AVY,216.62,158.79290000000003,171.33939999999996,199.6386,145.1185000000001,154.76733333333337,,141.40993333333338,105.91,221.58,144.88948800352853,137.683,166.185,0.8753894080996885,True,True,True,True,True,True,True,True
83,CZR,100.21,72.49677499999996,80.02346666666666,94.82659999999993,63.74852499999998,71.74873333333333,,61.31129999999999,29.74,105.75,212.73159479142743,38.662,79.3125,0.9844236760124612,True,True,True,True,True,True,True,True
85,COF,159.05,102.66669999999996,113.12206666666677,139.765,90.44395,98.99400000000006,,86.5556666666667,58.35,159.9,188.0827812637933,75.855,119.925,0.97196261682243,True,True,True,True,True,True,True,True
89,CARR,43.88,37.10025,39.35379999999999,42.727599999999974,34.419249999999984,36.84019999999997,,34.6085333333333,19.05,45.41,164.00444955707476,24.765,34.0575,0.9345794392523364,True,True,True,True,True,True,True,True
91,CAT,237.24,187.75205000000008,201.17433333333344,232.20719999999974,172.95160000000007,185.23866666666675,,168.00893333333337,112.47,244.79,150.18799248444049,146.211,183.5925,0.8971962616822429,True,True,True,True,True,True,True,True
93,CBRE,87.18,63.793349999999954,69.28479999999989,81.82180000000002,57.92999999999999,62.30159999999994,,55.70866666666665,40.3,87.75,154.02662898076932,52.39,65.8125,0.9034267912772586,True,True,True,True,True,True,True,True
95,CE,164.15,130.86905,138.8126,156.25719999999995,120.65405000000004,129.01853333333332,,119.45659999999998,82.78,169.03,136.7289144013447,107.61399999999999,126.7725,0.8224299065420559,True,True,True,True,True,True,True,True
99,CF,52.33,39.68814999999999,42.091,48.83859999999997,36.6931,38.440266666666666,,35.66033333333333,25.71,55.1,135.04640460950935,33.423,41.325,0.8099688473520249,True,True,True,True,True,True,True,True
100,CRL,327.23,261.29625,274.57019999999994,312.33640000000014,241.3737,254.73406666666668,,239.69053333333352,169.0,345.21,134.20304420627426,219.7,258.9075,0.8037383177570093,True,True,True,True,True,True,True,True
101,SCHW,72.17,52.239,57.73686666666665,67.87760000000003,47.13115,51.35693333333332,,45.17573333333331,31.75,73.25,156.51999112467055,41.275,54.9375,0.9190031152647976,True,True,True,True,True,True,True,True
108,CINF,120.28,90.32667500000004,94.1236333333334,110.4302,84.51207500000005,87.23390000000003,,82.26450000000001,57.32,121.17,149.4070977934374,74.516,90.8775,0.8940809968847352,True,True,True,True,True,True,True,True
112,CFG,49.39,36.1855,39.50726666666668,46.00759999999993,32.91589999999999,35.54926666666667,,31.72706666666667,21.28,50.74,165.2537770656941,27.664,38.055,0.9376947040498442,True,True,True,True,True,True,True,True
205,FCX,40.87,26.47609999999999,30.111666666666668,37.33920000000001,22.582549999999987,25.57219999999999,,21.56219999999999,8.74,44.8,332.9486030844083,11.362,33.599999999999994,1.0,True,True,True,True,True,True,True,True
