MMM,3
AOS,A. O. Smit
ABT,Abbot
ABBV,AbbVi
ABMD,Abiome
ACN,Accentur
ATVI,Activision Blizzar
ADBE,Adob
AAP,Advance Auto Part
AES,AE
AFL,Afla
A,Agilent Technologie
AIG,AI
APD,Air Product
AKAM,Akama
ALK,Alaska Air Grou
ALB,Albemarl
ARE,Alexandria Real Estate Equitie
ALGN,Align Technolog
ALLE,Allegio
LNT,Alliant Energ
ALL,Allstat
GOOGL,Alphabet (Class A
GOOG,Alphabet (Class C
MO,Altri
AMZN,Amazo
AMCR,Amco
AMD,AM
AEE,Amere
AAL,American Airlines Grou
AEP,American Electric Powe
AXP,American Expres
AMT,American Towe
AWK,American Wate
AMP,Ameriprise Financia
ABC,AmerisourceBerge
AME,Amete
AMGN,Amge
APH,Ampheno
ADI,Analog Device
ANSS,Ansy
ANTM,Anthe
AON,Ao
APA,APA Corporatio
AAPL,Appl
AMAT,Applied Material
APTV,Apti
ADM,AD
ANET,Arist
AJG,Arthur J. Gallagher & Co
AIZ,Assuran
T,AT&
ATO,Atmos Energ
ADSK,Autodes
ADP,Automatic Data Processin
AZO,AutoZon
AVB,AvalonBay Communitie
AVY,Avery Denniso
BKR,Baker Hughe
BLL,Bal
BAC,Bank of Americ
BBWI,Bath & Body Work
BAX,Baxter Internationa
BDX,Becton Dickinso
BRK.B,Berkshire Hathawa
BBY,Best Bu
BIO,Bio-Ra
TECH,Bio-Techn
BIIB,Bioge
BLK,BlackRoc
BK,BNY Mello
BA,Boein
BKNG,Booking Holding
BWA,BorgWarne
BXP,Boston Propertie
BSX,Boston Scientifi
BMY,Bristol Myers Squib
AVGO,Broadco
BR,Broadridg
BRO,Brown & Brow
BF.B,Brown–Forma
CHRW,C. H. Robinso
CDNS,Cadence Design System
CZR,Caesars Entertainmen
CPB,Campbell Sou
COF,Capital On
CAH,Cardinal Healt
KMX,CarMa
CCL,Carnival Corporatio
CARR,Carrier Globa
CTLT,Catalen
CAT,Caterpilla
CBOE,Cboe Global Market
CBRE,CBR
CDW,CD
CE,Celanes
CNC,Centen
CNP,CenterPoint Energ
CDAY,Ceridia
CERN,Cerne
CF,CF Industrie
CRL,Charles River Laboratorie
SCHW,Charles Schwa
CHTR,Charter Communication
CVX,Chevro
CMG,Chipotle Mexican Gril
CB,Chub
CHD,Church & Dwigh
CI,Cign
CINF,Cincinnati Financia
CTAS,Cinta
CSCO,Cisc
C,Citigrou
CFG,Citizens Financial Grou
CTXS,Citri
CLX,Cloro
CME,CME Grou
CMS,CMS Energ
KO,Coca-Col
CTSH,Cognizant Technology Solution
CL,Colgate-Palmoliv
CMCSA,Comcas
CMA,Comeric
CAG,Conagra Brand
COP,ConocoPhillip
ED,Con Ediso
STZ,Constellation Brand
COO,The Cooper Companie
CPRT,Copar
GLW,Cornin
CTVA,Cortev
COST,Costc
CTRA,Coterr
CCI,Crown Castl
CSX,CS
CMI,Cummin
CVS,CVS Healt
DHI,D. R. Horto
DHR,Danahe
DRI,Darden Restaurant
DVA,DaVit
DE,Deere & Co
DAL,Delta Air Line
XRAY,Dentsply Siron
DVN,Devon Energ
DXCM,DexCo
FANG,Diamondback Energ
DLR,Digital Realt
DFS,Discover Financial Service
DISCA,Discovery (Series A
DISCK,Discovery (Series C
DISH,Dish Networ
DG,Dollar Genera
DLTR,Dollar Tre
D,Dominion Energ
DPZ,Domino's Pizz
DOV,Dover Corporatio
DOW,Do
DTE,DTE Energ
DUK,Duke Energ
DRE,Duke Realt
DD,DuPon
DXC,DXC Technolog
EMN,Eastman Chemica
ETN,Eato
EBAY,eBa
ECL,Ecola
EIX,Edison Internationa
EW,Edwards Lifescience
EA,Electronic Art
EMR,Emerso
ENPH,Enphase Energ
ETR,Enterg
EOG,EOG Resource
EPAM,EPAM System
EFX,Equifa
EQIX,Equini
EQR,Equity Residentia
ESS,Essex Property Trus
EL,Estée Lauder Companie
ETSY,Ets
EVRG,Everg
ES,Eversource Energ
RE,Everest R
EXC,Exelo
EXPE,Expedia Grou
EXPD,Expeditor
EXR,Extra Space Storag
XOM,ExxonMobi
FFIV,F
FDS,FactSe
FAST,Fastena
FRT,Federal Realty Investment Trus
FDX,FedE
FIS,Fidelity National Information Service
FITB,Fifth Third Bancor
FE,FirstEnerg
FRC,First Republic Ban
FISV,Fiser
FLT,Fleetco
